code,population,densityPerSqMi,medianAge
AK,735000,1,35.0
AL,5074000,100,39.2
AR,3046000,59,38.5
AZ,7359000,65,38.5
CA,39000000,253,37.3
CO,5840000,57,37.2
CT,3626000,742,41.3
DE,1018000,487,41.2
FL,22244000,411,43.0
GA,10912000,190,37.4
HI,1440000,223,40.0
IA,3200000,57,38.6
ID,1939000,23,36.5
IL,12582000,226,38.9
IN,6833000,190,37.9
KS,2938000,36,37.2
KY,4526000,115,39.1
LA,4590000,107,38.4
MA,6981000,900,39.8
MD,6165000,627,38.8
ME,1385000,44,44.9
MI,10034000,177,40.0
MN,5717000,72,38.5
MO,6178000,90,38.9
MS,2940000,63,38.5
MT,1122000,7,39.8
NC,10699000,216,39.0
ND,780000,11,35.5
NE,1963000,26,36.5
NH,1389000,153,43.0
NJ,9261000,1260,40.0
NM,2114000,17,38.5
NV,3178000,29,38.5
NY,19677000,418,39.0
OH,11756000,288,39.7
OK,4019000,59,37.0
OR,4237000,44,39.5
PA,12972000,291,40.9
RI,1094000,1021,40.4
SC,5282000,175,40.2
SD,909000,12,37.0
TN,7051000,170,39.0
TX,30000000,115,35.4
UT,3380000,41,31.9
VA,8683000,219,38.7
VT,645000,70,43.1
WA,7785000,117,37.8
WI,5896000,108,40.3
WV,1775000,74,42.8
WY,581000,6,37.5
